City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Urumqi,CN,85.15,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
242,Canoa,DO,79.45,overcast clouds,18.36,-71.16,Col julia
243,Chenzhou,CN,88.7,light rain,25.8,113.03,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
244,Xuanwu,CN,78.75,light rain,32.07,118.81,东方珍珠饭店
251,Amga,RU,84.24,clear sky,60.9,131.96,Algys
252,Hamilton,US,78.22,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
256,Natal,BR,75.42,broken clouds,-5.8,-35.21,Villa Park Hotel | Natal
257,Dharmapuri,IN,75.22,overcast clouds,12.13,78.17,Saravana Inn
259,Gat,IL,78.4,clear sky,31.61,34.76,OlusHome
261,Mamallapuram,IN,84.25,overcast clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
266,Mitsamiouli,KM,75.31,few clouds,-11.38,43.28,Foyer ADM
270,Talbahat,IN,80.08,overcast clouds,25.05,78.43,It's Abusad Khan's Villa
272,Vila Do Maio,CV,75.99,broken clouds,15.13,-23.22,Hotel Marilu
273,Bourail,NC,75.27,clear sky,-21.57,165.48,Nekweta
274,Oussouye,SN,80.78,overcast clouds,12.49,-16.55,Auberge du Routard
275,Buala,SB,80.2,light rain,-8.15,159.59,Maringe Lagoon Lodge
279,Akdepe,TM,75.29,clear sky,42.06,59.38,Мой дом
282,Hinton,CA,75.24,broken clouds,53.4,-117.59,Econo Lodge & Suites
283,Kota Bahru,MY,86.0,few clouds,6.13,102.24,Grand Riverview Hotel
284,Zhangye,CN,79.16,overcast clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
287,Itoman,JP,86.02,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
288,Sola,VU,80.53,scattered clouds,-13.88,167.55,Ulkel Guest House
291,Qinhuangdao,CN,82.78,moderate rain,39.93,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
292,San Patricio,US,86.72,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
293,Hun,LY,75.02,clear sky,29.13,15.95,Alrwasi Hotel
296,Monrovia,LR,75.76,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
300,Athabasca,CA,78.62,broken clouds,54.72,-113.29,Athabasca Lodge Motel
